Szam,Kerdes,V1,V2,V3,Kep,HelyesValasz
140,"Milyen, a környezet védelmét biztosító előírást tartalmaz a Szabályzat az alábbiak közül?","Olajos hulladékot vagy annak vízzel képzett elegyét tilos a hajón tárolni, közömbösítve azt haladéktalanul a víziútba kell önteni vagy folyatni!","Tilos a hajóútba dobni szilárd halmazállapotban olajos hulladékot, illetve ezek vízzel képzett elegyét!","Tilos bármely formában a víziútba dobni, önteni vagy folyatni olajos hulladékot, illetve ezek vízzel képzett elegyét!",,3
141,"Hogyan rendelkezik a Szabályzat hajón keletkezett olajos hulladékok, illetve azok vízzel képzett elegyéről? Olajos hulladékok, illetve azok vízzel képzett elegyét","a hajóútba dobni, ejteni, önteni vagy folyatni csak a Szabályzatban meghatározott 1/10 százalékos arányban szabad.","víziútba dobni, ejteni, önteni vagy folyatni csak akkor szabad, ha a hajó sebessége a vízfelszínhez képet eléri vagy meghaladja a 10 km/órát.","tilos bármilyen formában a víziútba dobni, önteni vagy folyatni!",,3
142,"Milyen kötelezettség hárul a hajó vezetőjére olaj, olajhulladék, illetve ezek vízzel képzett elegyének véletlen kidobásakor vagy kidobásának veszélye esetén?","A hajó vezetőjének azonnal meg kell kezdenie a kidobott anyag begyűjtését, illetve minden lehetséges eszközzel meg kell akadályozni a kidobás veszélyét.","A hajó vezetője köteles haladéktalanul értesíteni a legközelebbi illetékes hatóságot, a lehető legpontosabban a megjelölve a bekövetkezett vagy esetlegesen bekövetkező vízbe folyás jellegét, mennyiségét és helyét.","A hajó vezetőjének azonnal a kidobott vagy kifolyatott anyagot közömbösítő anyagot kell a vízbe juttatni, valamint meg kell jelölnie a szennyezett vízterületet.",,2
143,"Jelölje meg, hogy egy kisgéphajón milyen hulladékok keletkeznek, illetve keletkezhetnek az alábbiak közül?","Olaj-, vagy kenőanyag-tartalmú hajóüzemi hulladék a gépüzemi berendezésekből (motor, hajtómű).","Szennyvíz, ha a kisgéphajó nyitott szerkezetű és benne összegyűlik az esővíz.","Tisztítási hulladék, ami a kisgéphajó lakótereinek tisztításából származik.",,1
144,"Jelölje meg, hogy egy vitorlás kishajón milyen hulladékok keletkeznek, illetve keletkezhetnek az alábbiak közül?","Olaj-, vagy kenőanyag-tartalmú hajóüzemi hulladék, amennyiben rendelkezik belsőégésű segédmotorral.","Szennyvíz, ha a kishajó nyitott szerkezetű és benn összegyűlik az esővíz.","Tisztítási hulladék, ami a vitorlás hajó lakótereinek tisztításából származik.",,1
145,"Válassza ki az olaj-, vagy kenőanyag-tartalmú hajóüzemi hulladékra jellemző meghatározást!","Fáradt olaj, fenékvíz és egyéb olaj-, vagy kenőanyag-tartalmú hulladék, ide nem sorolva az ilyen hulladékokhoz használt edényeket és csomagolóanyagokat.","Fáradt olaj, fenékvíz és egyéb olaj-, vagy kenőanyag-tartalmú hulladék, fáradt kenőanyag, használt (olaj- és levegő-) szűrő, használt törlőgyapot (használt rongy és vatta), ilyen hulladékokhoz használt edények és csomagolóanyagok.","Fáradt olaj, fenékvíz és egyéb olaj-, vagy kenőanyag-tartalmú hulladék ide nem sorolva a fáradt kenőanyagot, használt (olaj- és levegő-) szűrőket és a használt törlőgyapotot (használt rongyot és vattát).",,2
146,Keletkezik vagy keletkezhet-e kisgéphajón fáradt olaj?,"Igen, hiszen fáradt olajnak minősül a motor, fogaskerékhajtás, hidraulikus szerkezet fáradt olaja és egyéb másodlagosan nem felhasznált kenőanyaga.","Nem, ha a gépüzemű berendezések (motor, hajtómű) olajcseréjét az előírt üzemidőn belül cseréljük.","Igen, minden olyan olaj és zsír, amelynek a szavatossági ideje lejárt még akkor is, ha az nem került felhasználásra.",,1
147,"Keletkezik vagy keletkezhet-e fáradt olaj olyan vitorlás kishajón, amely belsőégésű segédmotorral is rendelkezik?","Igen, hiszen fáradt olajnak minősül a motor, fogaskerékhajtás, hidraulikus szerkezet fáradt olaja és egyéb másodlagosan nem felhasznált kenőanyaga.","Nem, ha a gépüzemű berendezések (motor, hajtómű) olajcseréjét az előírt üzemidőn belül cseréljük.","Igen, minden olyan olaj és zsír, amelynek a szavatossági ideje lejárt még akkor is, ha az nem került felhasználásra.",,1
148,"Keletkezhet-e kishajón olyan hulladék, amely a Szabályzat meghatározása szerint fenékvíznek minősül?","Igen, ha az a hajó elkülönülő tereiből (pl. géptérből) származik és olajjal szennyezett.","Igen, hiszen a fenékvíz nem más, mint a hajó alsó részében/részeiben csapadékból, kondenzációból, vagy a fröccsenésből származó, összegyűlő víz.","Nem, hiszen a csapadékból, kondenzációból vagy fröccsenésből származó víz nem minősül hulladéknak, hajónál az természetes jelenség.",,1
149,Mi minősül fáradt kenőanyagnak?,Lejárt szavatosságú és másodlagosan fel nem használható olajok és zsírok azok rendeltetésétől függetlenül.,"Olajozókannából, csapágyból és olajozó berendezésből elfolyó és egyéb másodlagosan nem felhasznált kenőanyag.","Motor, fogaskerékhajtás, hidraulikus szerkezet fáradt olaja és egyéb másodlagosan nem felhasznált kenőanyaga.",,2
150,Keletkezik vagy keletkezhet-e kishajón kommunális szennyvíz?,"Igen, hiszen kommunális szennyvíznek minősül a konyhából és mosdóból származó szennyvíz, továbbá a fekália.","Nem, ha a mosogató vagy mosdó (esetleg WC) szennyvize közvetlenül a szabadba jut.","Nem, hiszen a konyhából és mosdóból származó szennyvíz nem minősül kommunális szennyvíznek.",,1
151,"Minek minősül egy kishajó konyhájának mosogatója, mosdója (esetleg WC-je) használata során keletkező anyag?",Egyéb hajóüzemi hulladéknak (kommunális szennyvíznek).,Szennyvíznek.,Egyéb különleges hulladék.,,1
152,Mi minősül kommunális szennyvíznek?,"A hajó tisztításából származó víz, valamint a fenékben, annak tereiben összegyűlt eső- és kondenzvíz.","A konyhából, étkezőből, mosdóból, és a mosodából származó szennyvíz, valamint a fekália.","A konyhából és mosdóból származó szennyvíz, a fekália kivételével.",,2
153,Mi minősül háztartási szemétnek a Szabályzat alapján?,"Szerves és szervetlen háztartási, konyhai hulladék, amely nem tartalmaz hajóüzemi (olaj-, vagy kenőanyag-tartalmú) hulladékot vagy annak összetevőit (pl. fenékvíz).",Szerves vagy szervetlen szilárd halmazállapotú hulladék.,"Kizárólag szerves anyagokat tartalmazó háztartási, konyhai hulladék, amely nem tartalmaz hajóüzemi (olaj-, vagy kenőanyag-tartalmú) hulladékot vagy annak összetevőit (pl. fenékvíz).",,1
154,Milyen kötelezettség hárul a kishajó vezetőjére a hajón keletkező hulladékokkal kapcsolatban az alábbiak közül?,"Tilos a kishajóról víziútba dobni, folyatni, illetve engedni olajat vagy kenőanyagot tartalmazó hajóüzemi hulladékot, valamint háztartási hulladékot.","A kishajóról víziútba dobni, folyatni, illetve engedni olajat vagy kenőanyagot tartalmazó hajóüzemi hulladékot csak a vonatkozó nemzeti előírásoknak megfelelő hígítással és mennyiségben szabad.",,,1
155,A kishajó géptérrel rendelkezik. Milyen kötelezettség terheli a hajó vezetőjét a fenékvízzel (géptérből származó olajos fenékvíz) kapcsolatban az alábbiak közül? A kishajó vezetője köteles,biztosítani a géptéri fenékvíz összegyűjtését.,gondoskodni a géptéri fenék tisztántartásáról!,megakadályozni a géptérben összegyűlt víz olajjal való szennyeződését!,,1
156,Milyen előírás vonatkozik a hajón keletkező - olajat vagy kenőanyagokat tartalmazó - hulladékok tárolásával kapcsolatban az alábbiak közül?,"A hulladékok tárolására szolgáló edényeket kizárólag a hajó fedélzetén lehet elhelyezni, hogy azok tartalmának bármely elfolyását kellő időben és könnyen észlelni és kiküszöbölni lehessen.","A hulladékok tárolására szolgáló edényeket a hajón úgy kell elhelyezni, hogy azok tartalmának bármely elfolyását kellő időben és könnyen észlelni és kiküszöbölni lehessen.","A hulladékok tárolására szolgáló edényeket kizárólag a fedélzet alatti, kizárólag e célt szolgáló és A (fokozottan tűz- és robbanásveszélyes) osztályba sorolt terekben szabad elhelyezni.",,2
157,"Igaz vagy hamis? A géptérben csak olyan mosószereket, olajat és kenőanyagot oldó, valamint emulgeáló szereket szabad használni, amelyek megkönnyítik a fenékvíz későbbi tisztítást!",Igaz.,Hamis.,,,2
158,Milyen előírás vonatkozik a kishajón keletkező háztartási szemétre vonatkozóan az alábbiak közül?,A hajó vezetője köteles gondoskodni a háztartási szemétnek a hajón - lehetőség szerint fajtánként történő - összegyűjtéséről és a hulladékgyűjtő pontokra való elkülönített leadásáról.,A hajó vezetője köteles gondoskodni a háztartási szemét szelektív gyűjtéséről és megsemmisítéséről.,A hajó vezetője köteles gondoskodni a háztartási szemét összegyűjtéséről és leadásáról.,,1
159,"Milyen előírást tartalmaz a Szabályzat a hajó külhéjának tisztítására, törlésére?","A Szabályzat tiltja a védőréteget, festéket megbontó nagynyomású tisztítóberendezések alkalmazását a hajók külhéjának mosásakor.","Tilos a hajók külhéját olajjal törölni vagy olyan anyagokkal tisztítani, amelyek vízbe dobása tiltott!","A hajó külhéját csak vízben oldódó szerrel/szerekkel szabad mosni, törölni!",,2
160,Milyen korlátozás vonatkozik a hajón alkalmazott festékek használatára? Tilos,"higanyt-, arzént- és óntartalmú szerves vegyületeket, valamint szextoklorid hexánt vagy azok preparátumait tartalmazó antivegetatív festékek használata!","az olyan antivegetatív festékek használata, amelyek nem tartalmaznak higanyt-, arzént- és óntartalmú szerves vegyületeket, valamint szextoklorid hexánt!","megfelelő védőfelszerelés nélkül olyan festékek hajóra történő felhordása, amelyek higanyt-, arzént- és óntartalmú szerves vegyületeket, valamint szextoklorid hexánt vagy azok preparátumait tartalmazzák!",,1
161,"Milyen sebességkorlátozás van érvényben a Tisza-tónak a Tisza eredeti medrén kívül, a tó partjától mért 200 méter távolságon belül, valamint a csatornákban? Vízijárművek legfeljebb","10 km/h sebességgel közlekedhet, kivéve a kijelölt sportpályák vízterületét.",5 km/h sebességgel közlekedhet.,"13 km/h sebességgel közlekedhet, kivéve a kijelölt sportpályák vízterületét.",,1
162,Milyen sebességkorlátozás van érvényben a Keleti-főcsatornában? A csatornában a vízijármű legfeljebb a parthoz viszonyított,10 km/h sebességgel közlekedhet.,13 km/h sebességgel közlekedhet.,5 km/h sebességgel közlekedhet.,,1
163,Milyen közlekedési korlátozás vonatkozik a Tisza-tónak a Tisza eredeti medrén kívüli területén hajózó kishajóra? A kijelölt sportpályák vízterületét kivéve,"a tó partjától mért 200 méternél kisebb távolságban, valamint a csatornákban legfeljebb 10 km/h sebességgel közlekedhet.","a tó partjától mért 100 méternél kisebb távolságban, valamint a csatornákban legfeljebb 20 km/h sebességgel közlekedhet.","a tó partjától mért 200 méternél kisebb távolságban, valamint a csatornákban legfeljebb 15 km/h sebességgel közlekedhet.",,1
164,Mi értünk hajóút alatt a Szabályzat alapján?,A vízi útnak hajózásra használt része.,A vízi útnak az adott vízállásnál hajózásra használt és jelzésekkel kitűzött része.,A vízi útnak adott vízállásánál jelzésekkel kitűzött része.,,2
165,Mit értünk a hegymenet kifejezés alatt a víziközlekedésben?,A hullámhegyek biztonságos meghajózásának iránya.,A folyó forrása felé történő haladást jelenti.,A víz áramlásával ellentétes irányú haladást jelenti.,,2
166,Folytassa a Szabályzat alapján! Völgymenet a,folyó torkolata felé történő haladást jelenti.,víz áramlásával azonos irányú haladást jelenti.,a hullámok mozgásával azonos irányú hajózás.,,1
167,Folytassa a Szabályzat alapján! A víziút jobb partját,a torkolattól a forrás felé haladva értelmezzük.,a forrástól a torkolat felé haladva értelmezzük.,a mindenkori menetirányhoz viszonyítva értelmezzük.,,2
168,Mit értünk bal part alatt a Szabályzat alapján?,A víziút bal partját jelenti a torkolattól a forrás felé haladva.,A hajó menetirányához képest bal oldal felé található partot jelenti.,A víziút bal partját jelenti a forrástól a torkolat felé haladva.,,3
169,Folytassa a Szabályzat alapján! A víziút jobb és bal partját,a torkolattól a forrás felé haladva értelmezzük.,a forrástól a torkolat felé haladva értelmezzük.,a mindenkori menetiránnyal ellentétesen értelmezzük.,,2
170,Milyen feltételek teljesülése mellett veheti igénybe a víziutat kishajó?,"A kishajó hosszának, szélességének, magasságának, merülésének és sebességének meg kell felelnie a víziút és a műtárgyak műszaki jellemzőinek.","A víziutat csak azok a kishajók vehetik igénybe, amelyek erre műszakilag és nautikailag arra alkalmasak.","A víziutat csak olyan üzemképes kishajók használhatják, amelyek hossza, szélessége, magassága , merülése és sebessége megfelel a hajóút jellemzőinek.",,1
171,"A víziút igénybevétele során mi határozza meg a kishajó hosszát, szélességét, magasságát, merülését és sebességét?",Kizárólag a kishajó gépteljesítménye és az azzal elérhető vízfelszínhez mért sebesség alapján.,"A Szabályzat II. részében egyes víziutakra elrendelt korlátozások, illetve esetleges átmeneti jellegű hatósági rendelkezések alapján.","A víziút és műtárgyai műszaki jellemzői, valamint esetleges átmeneti jellegű hatósági rendelkezések alapján.",,3
172,Hárul-e kötelezettség a kishajó vezetőjére a víziút jelzéseivel és kitűző jeleivel kapcsolatban?,"Nem, a kishajó vezetőt nem terheli bejelentési kötelezettség még akkor sem, ha a jel(ek) meghibásodását, elmozdulását vagy sérülését észleli.","Igen, köteles megkísérelni a meghibásodást (pl. izzó csere) elhárítását, a jel elmozdulása vagy sérülése esetén már nincs kötelezettsége, azt a vízirendészet úgyis naponta ellenőrzi.","Igen, köteles a legközelebbi illetékes hatóságnál haladéktalanul bejelenteni a jelző és kitűző jeleket érintő általa észlelt eseményt, rendellenességet.",,3
173,Folytassa a mondatot! Folyamkilométer,a víziút egy adott pontjának/szelvényének a folyó vagy csatorna torkolatától mért távolsága.,a víziút egy adott pontjának/szelvényének a folyó vagy csatorna forrásától mért távolsága.,a víziút egy adott pontjának/szelvényének a jobb parton mért és a torkolattól számított távolsága.,xxx-1665.jpg,1
174,Mit értünk vízi sportpálya alatt Szabályzat alapján?,"Vízisízés, ejtőernyő vontatás, úszó eszközhöz kötött repülés, vontatott vízi sport- és fürdőeszköz, valamint motoros vízi sporteszköz másoktól és egymástól elkülönített használata céljára kijelölt vagy engedélyezett vízterület.",Versenyszerű vízisport céljait szolgáló és hajózási jelzésekkel kitűzött vízterület.,"Kizárólag vízisízés, ejtőernyő vontatás, valamint szó eszközhöz kötött repülés használatára épített és üzemeltetett vízterület.",,1
175,Mit jelent a hajóút közelében meghatározás?,A víziút hajóúton kívül elhelyezkedő és ahhoz közvetlenül csatlakozó vízterület.,A hajóút víziúton kívül elhelyezkedő és ahhoz közvetlenül csatlakozó vízterülete.,A mindenkori part éltől márt 50 méter széles vízterület.,,1
176,"Mit jelölnek az ábrán látható laterális kitűző jelek (henger alakú vörös bóják, úszó vagy karón vörös henger)?",A hajóút jobb szélet és a jobb part közeli veszélyeket jelölik.,A hajóút bal szélét és a bal part közeli veszélyeket jelölik.,A hajóutat választják el a köztük és a jobb part között elhelyezkedő veszteglőhelytől.,teszt-0473.jpg,1
177,Mit jelez az ábrán látható vörös villanó fényű bója?,A hajóút tengelyét.,A hajóút jobb szélét és a jobb part közeli veszélyeket.,A veszteglőhelyet a hajóút jobb oldalán határolja el.,teszt-0475.jpg,2
178,"Kishajójával völgymenetben hajózik. Biztonságra törekedve, melyik oldal felől hajózik el az ábrán látható bója mellett?","Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét jelzi.","A hajóm jobb oldal felől hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi.","A hajóm bal oldala felől hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi.",teszt-0476.jpg,2
179,"Kishajójával völgymenetben hajózik. Biztonságra törekedve, melyik oldal felől hajózik el az ábrán látható vörös fényű (2,8 másodperces megszakításokkal 0,7 másodpercig villanó) bója mellett?","A hajóm jobb oldal felől hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi.","Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét jelzi.","A hajóm bal oldala felől hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi.",teszt-0498.jpg,1
180,"Kishajójával hegymenetben hajózik. Biztonságra törekedve, melyik oldal felől hajózik el az ábrán látható bója mellett?","A hajóm jobb oldal felől hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi.","A hajóm bal oldala felől hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi.","Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét jelzi.",teszt-0477.jpg,2
181,"Kishajójával hegymenetben hajózik. Biztonságra törekedve, melyik oldal felől hajózik el az ábrán látható vörös fényű 2,8 másodperces megszakításokkal 0,7 másodpercig villanó bója mellett?","A hajóm bal oldala felől hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi.","Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét jelzi.","A hajóm jobb oldal felől hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi.",teszt-0501.jpg,1
182,"Kishajójával völgymenetben hajózva egy tárgyat észlel maga előtt. Megvilágítva azt egy vörös hengert formáló alakzatot lát. Biztonságra törekedve, melyik oldal felől hajózik el mellette?","Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel különálló veszélyes helyet jelez.","A hajóm jobb oldal felől hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi.","A hajóm bal oldala felől hajózok el a bója mellett, hiszen az hajóút bal szélét és a bal part közeli veszélyeket jelzi.",teszt-0502.jpg,2
183,"Kishajójával hegymenetben hajózva egy tárgyat észlel maga előtt. Megvilágítva azt egy vörös hengert formáló alakzatot lát. Biztonságra törekedve, melyik oldal felől hajózik el az ábrán látható bója mellett?","A hajóm bal oldala felől hajózok el a bója mellett, hiszen az hajóút jobb szélét és a jobb part közeli veszélyeket jelzi.","A hajóm jobb oldal felől hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi.","Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét, biztonságos vizeket jelez.",teszt-0503.jpg,1
184,"Mit jelez az ábrán látható vörös hengert formáló, fehér P betűvel ellátott bója?","A hajóút jobb szélét, továbbá irányának jelölésére szolgál, elhatárolja a hajóút jobb oldalát és a víziút jobb part felé eső veszélyes helyeit.",A hajóút bal szélét és a bal part közötti veszteglőhelyet határolja el.,A hajóút jobb szélét és a jobb part közötti veszteglőhelyet határolja el.,teszt-0511.jpg,3
185,Mit jelez az ábrán látható (állandó fázisú) vörös fényű bója?,A veszteglőhelyet a hajóút bal oldalán határolja.,A hajóút jobb szélét és a jobb parti veszélyeket.,A veszteglőhelyet a hajóút jobb oldalán határolja el.,teszt-0513.jpg,3
186,Mit jelez a parti tábla?,"A hajóút parthoz viszonyított helyzetét jelzi és a hajóúton elhelyezett jelekkel együtt, megjelöli a hajóutat azokon a helyeken, ahol az a bal parthoz közelít.",A hajóútnak a folyó egyik partjától a másikra történő átmenetének kezdetét és végét jelzi a bal parton.,"A hajóút parthoz viszonyított helyzetét jelöli ott, ahol a jobb parthoz közelít, valamint iránytartó jelként is szolgál.",xxx-0543.jpg,3
187,Mit jelez az ábrán látható villanó vörös fényű parti tábla?,"A hajóút parthoz viszonyított helyzetét jelzi és a hajóúton elhelyezett jelekkel együtt, megjelöli a hajóutat azokon a helyeken, ahol az a bal parthoz közelít.",A hajóútnak a folyó egyik partjától a másikra történő átmenetének kezdetét és végét jelzi a bal parton.,"A hajóút parthoz viszonyított helyzetét ott, ahol a jobb parthoz közelít, valamint iránytartó jelként is szolgál.",xxx-0544.jpg,3
188,Mit jelöl az ábrán látható parti tábla az alábbiak közül?,Veszélyes hely következik!,"A jobb parti veszélyes helyeket jelzi és kisegítő jelként szolgál a mederbe benyúló különféle műtárgyak (gát, vezetőmű, stb.) határolására.","A bal parti veszélyes helyeket jelzi és kisegítő jelként szolgál a mederbe benyúló különféle műtárgyak (gát, vezetőmű, stb.) határolására.",xxx-0550.jpg,2
189,Mit jelölnek az ábrán látható laterális kitűző jel (kúp alakú zöld úszó)?,A hajóút jobb szélet és a jobb part közeli veszélyeket jelölik.,A hajóút bal szélét és a bal part közeli veszélyeket jelölik.,A hajóutat választják el a köztük és a jobb part között elhelyezkedő veszteglőhelytől.,teszt-0524.jpg,2
190,Mit jelez az ábrán látható zöld villanó fényű bója?,A hajóút tengelyét.,A hajóút bal szélét és a bal part közeli veszélyeket.,A veszteglőhelyet a hajóút bal oldalán határolja el.,xxx-0557.jpg,2
191,"Kishajójával völgymenetben hajózik. Biztonságra törekedve, melyik oldal felől hajózik el az ábrán látható bója mellett?","Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét jelzi.","A hajóm jobb oldala felől hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi.","A hajóm bal oldala felől hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi.",teszt-0532.jpg,3
192,"Kishajójával völgymenetben hajózik. Biztonságra törekedve, melyik oldal felől hajózik el az ábrán látható zöld fényű 2,8 másodperces megszakításokkal 0,7 másodpercig villanó bója mellett?","A hajóm bal oldala felől hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi.","Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét jelzi.","A hajóm jobb oldala felől hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi.",teszt-0534.jpg,1
193,"Kishajójával hegymenetben hajózik. Biztonságra törekedve, melyik oldal felől hajózik el az ábrán látható bója mellett?","A hajóm bal oldala felől hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi.","A hajóm jobb oldala felől hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi.",Bármelyik oldalról biztonságosan el lehet mellette hajózni.,teszt-0536.jpg,2
194,"Kishajójával hegymenetben hajózik. Biztonságra törekedve, melyik oldal felől hajózik el az ábrán látható zöld fényű (2,8 másodperces megszakításokkal 0,7 másodpercig villanó) bója mellett?",Bármelyik oldalról biztonságosan el lehet mellette hajózni.,"A hajóm jobb oldala felől hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi.","A hajóm bal oldala felől hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi.",teszt-0530.jpg,2
195,"Kishajójával völgymenetben hajózva egy tárgyat észlel maga előtt. Megvilágítva azt egy zöld kúpot formáló alakzatot lát. Biztonságra törekedve, melyik oldal felől hajózik el az ábrán látható úszó mellett?","A hajóm bal oldala felől hajózok el a bója mellett, hiszen az hajóút bal szélét és a bal part közeli veszélyeket jelzi.","A hajóm jobb oldal felől hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi.","Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét, biztonságos vizeket jelez.",xxx-0523.jpg,1
196,"Mit jelez az ábrán látható zöld kúpot formáló, fehér P betűvel ellátott bója?","A hajóút bal szélét, továbbá irányának jelölésére szolgál, elhatárolja a hajóút bal oldalát és a víziút bal part felé eső veszélyes helyeit.",A hajóút bal szélét és a bal part közötti veszteglőhelyet határolja el.,A hajóút jobb szélét és a jobb part közötti veszteglőhelyet határolja el.,xxx-0537.jpg,2
197,Mit jelez a parti tábla?,A hajóútnak a folyó egyik partjától a másikra történő átmenetének kezdetét és végét jelzi a jobb parton.,"A hajóút parthoz viszonyított helyzetét jelöli ott, ahol a bal parthoz közelít, valamint iránytartó jelként is szolgál.","A hajóút parthoz viszonyított helyzetét jelzi és a hajóúton elhelyezett jelekkel együtt, megjelöli a hajóutat azokon a helyeken, ahol az a jobb parthoz közelít.",xxx-0567.jpg,2
198,Mit jelez az ábrán látható villanó zöld fényű parti tábla?,"A hajóút parthoz viszonyított helyzetét jelzi és a hajóúton elhelyezett jelekkel együtt, megjelöli a hajóutat azokon a helyeken, ahol az a jobb parthoz közelít.",A hajóútnak a folyó egyik partjától a másikra történő átmenetének kezdetét és végét jelzi a jobb parton.,"A hajóút parthoz viszonyított helyzetét ott, ahol a bal parthoz közelít, valamint iránytartó jelként is szolgál.",xxx-0569.jpg,3
199,Mit jelöl az ábrán látható parti tábla?,Veszélyes hely következik!,"A jobb parti veszélyes helyeket jelzi és kisegítő jelként szolgál a mederbe benyúló különféle műtárgyak (gát, vezetőmű, stb.) határolására.","A bal parti veszélyes helyeket jelzi és kisegítő jelként szolgál a mederbe benyúló különféle műtárgyak (gát, vezetőmű, stb.) határolására.",xxx-0554.jpg,3
200,"Mit jelölnek az ábrán látható laterális kitűző jelek (zöld-vörös sávozású gömb alakú bóják, úszó vagy karó zöld-vörös sávozású gömb alakú csúcsjellel)?","A hajóút tengelyvonalát, a hajóút középvonalát.",A hajózható vizek által határolt különálló veszélyes helyeket jelölik.,"A hajóút szétágazását vagy összefolyását, valamint a hajóúton belül elhelyezkedő akadályokat jelölik.",teszt-0540.jpg,3
201,Mit jelez az ábrán látható állandó fázisú fehér fényű bója?,"A hajóút tengelyvonalát, a hajóút középvonalát.","A hajóút szétágazását vagy összefolyását, valamint a hajóúton belül elhelyezkedő akadályokat.","A hajóút szétágazását vagy összefolyását, valamint a hajóút közelében elhelyezkedő akadályokat.",teszt-0545.jpg,2
202,Kishajójával völgymenetben hajózik. Melyik oldal felől hajózhat el az ábrán látható bója mellett? A jel mellett,"bármelyik oldalról biztonságosan el lehet hajózni, mivel a bója a hajóút szétágazását és mindkét ág hajózhatóságát, valamint a hajóúton belül elhelyezkedő akadályokat jelzi.","csak a hajóm jobb oldal felől hajózhatok el mellette, mivel az a bal oldali ág hajózhatóságát jelzi.","bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel az a hajóút tengelyét jelzi.",teszt-0543.jpg,1
203,"Kishajójával völgymenetben hajózik. Melyik oldal felől hajózhat el az ábrán látható bója mellett, ha az 0,5 másodperces szünetekkel 0,5 másodperces fehér fényű felvillanásokkal jelez? A jel mellett","bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a világító bója a hajóút tengelyét jelzi.","csak a hajóm jobb oldal felől hajózhatok el mellette, mivel az a bal oldali ág hajózhatóságát jelzi.","bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a világító bója a hajóút szétágazását és mindkét ág hajózhatóságát, valamint a hajóúton belül elhelyezkedő akadályokat jelzi.",teszt-0547.jpg,3
204,Kishajójával hegymenetben hajózik. Melyik oldal felől hajózhat el az ábrán látható bója mellett? A bója mellett,"bármelyik oldalról biztonságosan el lehet hajózni, mivel az a hajóút összefolyását, valamint a hajóúton belül elhelyezkedő akadályokat jelzi.","bármelyik oldalról biztonságosan el lehet hajózni, mivel az a hajóút tengelyét jelzi.","csak a hajóm bal oldal felől hajózhatok el, mivel az a jobb oldali ág hajózhatóságát jelzi.",teszt-0549.jpg,1
205,Mit jelöl az ábrán látható parti tábla?,"Mindkét oldalról kikerülhető veszélyes helyet, akadályt (pl. szigetvéget, víziút elágazást) jelöl a parton.",Menetirány szerint jobbról kerülhető veszélyes helyet jelöli.,Elszórt hajózási akadályokat jelöli.,teszt-0563.jpg,1
